Rank,Game Name,Publish Year,Platform ID,Genre ID,Publisher ID,NA_Sales,EU_Sales,JP_Sales,Other_Sales
1,Wii Sports,1/1/2006,26,11,469,41.49,29.02,3.77,8.46
2,Super Mario Bros.,1/1/1985,12,5,469,29.08,3.58,6.81,0.77
3,Mario Kart Wii,1/1/2008,26,7,469,15.85,12.88,3.79,3.31
4,Wii Sports Resort,1/1/2009,26,11,469,15.75,11.01,3.28,2.96
5,Pokemon Red/Pokemon Blue,1/1/1996,6,8,469,11.27,8.89,10.22,1
6,Tetris,1/1/1989,6,6,469,23.2,2.26,4.22,0.58
7,New Super Mario Bros.,1/1/2006,5,5,469,11.38,9.23,6.5,2.9
8,Wii Play,1/1/2006,26,4,469,14.03,9.2,2.93,2.85
9,New Super Mario Bros. Wii,1/1/2009,26,5,469,14.59,7.06,4.7,2.26
10,Duck Hunt,1/1/1984,12,9,469,26.93,0.63,0.28,0.47
11,Nintendogs,1/1/2005,5,10,469,9.07,11,1.93,2.75
12,Mario Kart DS,1/1/2005,5,7,469,9.81,7.57,4.13,1.92
13,Pokemon Gold/Pokemon Silver,1/1/1999,6,8,469,9,6.18,7.2,0.71
14,Wii Fit,1/1/2007,26,11,469,8.94,8.03,3.6,2.15
15,Wii Fit Plus,1/1/2009,26,11,469,9.09,8.59,2.53,1.79
16,Kinect Adventures!,1/1/2010,29,4,428,14.97,4.94,0.24,1.67
17,Grand Theft Auto V,1/1/2013,18,1,599,7.01,9.27,0.97,4.14
18,Grand Theft Auto: San Andreas,1/1/2004,17,1,599,9.43,0.4,0.41,10.57
19,Super Mario World,1/1/1990,24,5,469,12.78,3.75,3.54,0.55
20,Brain Age: Train Your Brain in Minutes a Day,1/1/2005,5,4,469,4.75,9.26,4.16,2.05
21,Pokemon Diamond/Pokemon Pearl,1/1/2006,5,8,469,6.42,4.52,6.04,1.37
22,Super Mario Land,1/1/1989,6,5,469,10.83,2.71,4.18,0.42
23,Super Mario Bros. 3,1/1/1988,12,5,469,9.54,3.44,3.84,0.46
24,Grand Theft Auto V,1/1/2013,29,1,599,9.63,5.31,0.06,1.38
25,Grand Theft Auto: Vice City,1/1/2002,17,1,599,8.41,5.49,0.47,1.78
26,Pokemon Ruby/Pokemon Sapphire,1/1/2002,7,8,469,6.06,3.9,5.38,0.5
27,Pokemon Black/Pokemon White,1/1/2010,5,8,469,5.57,3.28,5.65,0.82
28,Brain Age 2: More Training in Minutes a Day,1/1/2005,5,6,469,3.44,5.36,5.32,1.18
29,Gran Turismo 3: A-Spec,1/1/2001,17,7,565,6.85,5.09,1.87,1.16
30,Call of Duty: Modern Warfare 3,1/1/2011,29,9,117,9.03,4.28,0.13,1.32
31,Pokémon Yellow: Special Pikachu Edition,1/1/1998,6,8,469,5.89,5.04,3.12,0.59
32,Call of Duty: Black Ops,1/1/2010,29,9,117,9.67,3.73,0.11,1.13
33,Pokemon X/Pokemon Y,1/1/2013,3,8,469,5.17,4.05,4.34,0.79
34,Call of Duty: Black Ops 3,1/1/2015,19,9,117,5.77,5.81,0.35,2.31
35,Call of Duty: Black Ops II,1/1/2012,18,9,117,4.99,5.88,0.65,2.52
36,Call of Duty: Black Ops II,1/1/2012,29,9,117,8.25,4.3,0.07,1.12
37,Call of Duty: Modern Warfare 2,1/1/2009,29,9,117,8.52,3.63,0.08,1.29
38,Call of Duty: Modern Warfare 3,1/1/2011,18,9,117,5.54,5.82,0.49,1.62
39,Grand Theft Auto III,1/1/2001,17,1,599,6.99,4.51,0.3,1.3
40,Super Smash Bros. Brawl,1/1/2008,26,3,469,6.75,2.61,2.66,1.02
41,Call of Duty: Black Ops,1/1/2010,18,9,117,5.98,4.44,0.48,1.83
42,Animal Crossing: Wild World,1/1/2005,5,10,469,2.55,3.52,5.33,0.88
43,Mario Kart 7,1/1/2011,3,7,469,4.74,3.91,2.67,0.89
44,Halo 3,1/1/2007,29,9,428,7.97,2.83,0.13,1.21
45,Grand Theft Auto V,1/1/2014,19,1,599,3.8,5.81,0.36,2.02
46,Pokemon HeartGold/Pokemon SoulSilver,1/1/2009,5,1,469,4.4,2.77,3.96,0.77
47,Super Mario 64,1/1/1996,11,5,469,6.91,2.85,1.91,0.23
48,Gran Turismo 4,1/1/2004,17,7,565,3.01,0.01,1.1,7.53
49,Super Mario Galaxy,1/1/2007,26,5,469,6.16,3.4,1.2,0.76
50,Pokemon Omega Ruby/Pokemon Alpha Sapphire,1/1/2014,3,8,469,4.23,3.37,3.08,0.65
51,Super Mario Land 2: 6 Golden Coins,1/1/1992,6,2,469,6.16,2.04,2.69,0.29
52,Grand Theft Auto IV,1/1/2008,29,1,599,6.76,3.1,0.14,1.03
53,Gran Turismo,1/1/1997,16,7,565,4.02,3.87,2.54,0.52
54,Super Mario 3D Land,1/1/2011,3,5,469,4.89,2.99,2.13,0.78
55,Gran Turismo 5,1/1/2010,18,7,565,2.96,4.88,0.81,2.12
56,Call of Duty: Modern Warfare 2,1/1/2009,18,9,117,4.99,3.69,0.38,1.63
57,Grand Theft Auto IV,1/1/2008,18,1,599,4.76,3.76,0.44,1.62
58,Super Mario All-Stars,1/1/1993,24,5,469,5.99,2.15,2.12,0.29
59,Pokemon FireRed/Pokemon LeafGreen,1/1/2004,7,8,469,4.34,2.65,3.15,0.35
60,Super Mario 64,1/1/2004,5,5,469,5.08,3.11,1.25,0.98
61,Just Dance 3,1/1/2011,26,4,633,6.05,3.15,0,1.07
62,Call of Duty: Ghosts,1/1/2013,29,9,117,6.72,2.63,0.04,0.82
63,Halo: Reach,1/1/2010,29,9,428,7.03,1.98,0.08,0.78
64,Mario Kart 64,1/1/1996,11,7,469,5.55,1.94,2.23,0.15
65,New Super Mario Bros. 2,1/1/2012,3,5,469,3.66,3.07,2.47,0.63
66,Halo 4,1/1/2012,29,9,428,6.63,2.36,0.04,0.73
67,Final Fantasy VII,1/1/1997,16,8,565,3.01,2.47,3.28,0.96
68,Call of Duty: Ghosts,1/1/2013,18,9,117,4.09,3.73,0.38,1.38
69,Just Dance 2,1/1/2010,26,4,633,5.84,2.89,0.01,0.78
70,Gran Turismo 2,1/1/1999,16,7,565,3.88,3.42,1.69,0.5
71,Call of Duty 4: Modern Warfare,1/1/2007,29,9,117,5.91,2.38,0.13,0.9
72,Donkey Kong Country,1/1/1994,24,5,469,4.36,1.71,3,0.23
73,Minecraft,1/1/2013,29,4,428,5.58,2.83,0.02,0.77
74,Animal Crossing: New Leaf,1/1/2012,3,10,469,2.01,2.32,4.36,0.41
75,Mario Party DS,1/1/2007,5,4,469,4.46,1.88,1.98,0.7
76,The Elder Scrolls V: Skyrim,1/1/2011,29,8,165,5.03,2.86,0.1,0.85
77,Super Mario Kart,1/1/1992,24,7,469,3.54,1.24,3.81,0.18
78,FIFA 16,1/1/2015,19,11,239,1.11,6.06,0.06,1.26
79,Wii Party,1/1/2010,26,4,469,1.79,3.53,2.49,0.68
80,Halo 2,1/1/2004,30,9,428,6.82,1.53,0.05,0.08
81,Mario Party 8,1/1/2007,26,4,469,3.81,2.3,1.58,0.73
82,Pokemon Black 2/Pokemon White 2,1/1/2012,5,8,469,2.91,1.86,3.14,0.43
83,FIFA Soccer 13,1/1/2012,18,1,239,1.06,5.05,0.13,2.01
84,The Sims 3,1/1/2009,14,10,239,0.98,6.42,0,0.71
85,GoldenEye 007,1/1/1997,11,9,469,5.8,2.01,0.13,0.15
86,Mario & Sonic at the Olympic Games,1/1/2007,26,11,553,2.58,3.9,0.66,0.91
87,Final Fantasy X,1/1/2001,17,8,565,2.91,2.07,2.73,0.33
88,Final Fantasy VIII,1/1/1999,16,8,576,2.28,1.72,3.63,0.23
89,Pokémon Platinum Version,1/1/2008,5,8,469,2.82,1.78,2.69,0.55
90,Pac-Man,1/1/1982,1,6,154,7.28,0.45,0,0.08
91,Grand Theft Auto: Liberty City Stories,1/1/2005,20,1,599,2.9,2.83,0.24,1.75
92,Super Mario Galaxy 2,1/1/2010,26,5,469,3.66,2.42,0.98,0.64
93,Star Wars Battlefront (2015),1/1/2015,19,9,239,2.93,3.29,0.22,1.23
94,Call of Duty: Advanced Warfare,1/1/2014,19,9,117,2.8,3.3,0.14,1.37
95,The Legend of Zelda: Ocarina of Time,1/1/1998,11,1,469,4.1,1.89,1.45,0.16
96,Crash Bandicoot 2: Cortex Strikes Back,1/1/1997,16,5,565,3.78,2.17,1.31,0.31
97,Super Mario Bros. 2,1/1/1988,12,5,469,5.39,1.18,0.7,0.19
98,Super Smash Bros. for Wii U and 3DS,1/1/2014,3,3,469,3.24,1.35,2.42,0.43
99,Call of Duty: World at War,1/1/2008,29,9,117,4.79,1.9,0,0.69
100,Battlefield 3,1/1/2011,29,9,239,4.46,2.13,0.06,0.69
101,The Legend of Zelda: Twilight Princess,1/1/2006,26,1,469,3.83,2.19,0.6,0.7
102,Call of Duty: Black Ops 3,1/1/2015,31,9,117,4.52,2.09,0.01,0.67
103,Just Dance,1/1/2009,26,4,633,3.51,3.03,0,0.73
104,Battlefield 3,1/1/2011,18,9,239,2.85,2.93,0.35,1.1
105,Need for Speed Underground,1/1/2003,17,7,239,3.27,2.83,0.08,1.02
106,Tekken 3,1/1/1998,16,3,565,3.27,2.22,1.4,0.29
107,Crash Bandicoot 3: Warped,1/1/1998,16,5,565,3.68,1.75,1.42,0.28
108,Super Smash Bros. Melee,1/1/2001,8,3,469,4.41,1.04,1.39,0.22
109,Mario Kart 8,1/1/2014,27,7,469,3.13,2.07,1.27,0.49
110,Fallout 4,1/1/2015,19,8,165,2.47,3.15,0.24,1.1
111,Mario Kart: Double Dash!!,1/1/2003,8,7,469,4.12,1.77,0.87,0.19
112,Just Dance 4,1/1/2012,26,4,633,4.14,2.21,0,0.56
113,FIFA 14,1/1/2013,18,11,239,0.78,4.32,0.07,1.73
114,Need for Speed Underground 2,1/1/2004,17,7,239,2.71,3.02,0.08,1.09
115,Medal of Honor: Frontline,1/1/2002,17,9,239,2.93,2.75,0.17,0.99
116,Uncharted 3: Drake's Deception,1/1/2011,18,1,565,2.77,2.8,0.19,1.06
117,Crash Bandicoot,1/1/1996,16,5,565,3.23,2.35,0.94,0.3
118,Zumba Fitness,1/1/2010,26,11,107,3.5,2.64,0,0.67
119,Gears of War 2,1/1/2008,29,9,428,4.15,1.92,0.06,0.64
120,Uncharted 2: Among Thieves,1/1/2009,18,1,565,3.27,2.25,0.21,1
121,Call of Duty 4: Modern Warfare,1/1/2007,18,9,117,3.1,2.3,0.28,1.04
122,FIFA 12,1/1/2011,18,11,239,0.84,4.32,0.11,1.42
123,Big Brain Academy,1/1/2005,5,4,469,1.67,2.78,1.6,0.62
124,Red Dead Redemption,1/1/2010,18,1,599,2.79,2.61,0.17,1.03
125,FIFA 15,1/1/2014,19,11,239,0.79,4.29,0.05,1.47
126,Donkey Kong Country Returns,1/1/2010,26,5,469,3.25,1.84,1.03,0.47
127,The Elder Scrolls V: Skyrim,1/1/2011,18,8,165,2.55,2.71,0.25,1.05
128,The Legend of Zelda,1/1/1986,12,1,469,3.74,0.93,1.69,0.14
129,Assassin's Creed III,1/1/2012,18,1,633,2.64,2.56,0.16,1.14
130,Halo: Combat Evolved,1/1/2001,30,9,428,4.98,1.3,0.08,0.07
131,Pokémon Emerald Version,1/1/2004,7,8,469,2.57,1.58,2.06,0.21
132,Kingdom Hearts,1/1/2002,17,8,565,3.64,1.2,1.49,0.07
133,Pokémon Crystal Version,1/1/2000,6,8,469,2.55,1.56,1.29,0.99
134,Halo 3: ODST,1/1/2009,29,9,428,4.34,1.35,0.06,0.61
135,Red Dead Redemption,1/1/2010,29,1,599,3.7,1.97,0.09,0.57
136,Super Mario Sunshine,1/1/2002,8,5,469,4.01,1.26,0.87,0.17
137,Street Fighter II: The World Warrior,1/1/1992,24,3,182,2.47,0.83,2.87,0.12
138,World of Warcraft,1/1/2004,14,8,117,0.07,6.21,0,0
139,Driver,1/1/1999,16,1,309,3.11,2.8,0.02,0.33
140,Kinect Sports,1/1/2010,29,11,428,3.92,1.78,0.03,0.51
141,Gears of War 3,1/1/2011,29,9,428,4.05,1.62,0.07,0.49
142,Gears of War,1/1/2006,29,9,428,3.54,1.9,0.07,0.6
